City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,dokshytsy,54.8924,27.7689,-5.03,96,100,4.55,BY,1701047385
156,port douglas,-16.4833,145.4667,27.98,68,63,3.07,AU,1701047385
157,belyayevka,51.3974,56.4096,1.02,69,6,7.87,RU,1701047385
158,saudarkrokur,65.7461,-19.6394,2.37,88,71,4.5,IS,1701047386
159,narasannapeta,18.4167,84.05,21.58,73,99,2.42,IN,1701047386
160,zgurovka,50.5028,31.7849,-2.28,95,100,12.2,UA,1701047386
161,punta del este,-34.9667,-54.95,20.12,81,0,3.6,UY,1701047386
162,ixtapa,20.7,-105.2,26.57,61,100,2.06,MX,1701047386
163,dubti,11.7361,41.0853,24.99,50,36,2.9,ET,1701047387
164,lodja,-3.4833,23.4333,20.49,99,100,0.71,CD,1701047387
165,mili,6.0815,171.735,28.36,80,100,8.57,MH,1701047387
166,suva,-18.1416,178.4415,26.71,83,75,4.12,FJ,1701047387
167,tazovsky,67.4667,78.7,-19.59,98,83,4.36,RU,1701047387
168,isafjordur,66.0755,-23.124,3.83,90,99,4.52,IS,1701047387
169,sakaiminato,35.55,133.2333,13.58,64,8,2.84,JP,1701047388
170,lae,-6.7221,146.9847,31.36,59,98,2.47,PG,1701047388
171,ilha de mocambique,-15.0342,40.7358,26.19,82,20,2.42,MZ,1701047388
172,kodiak,57.79,-152.4072,5.73,87,100,8.23,US,1701047212
173,kertih,4.5141,103.4483,25.03,87,100,1.49,MY,1701047388
174,aykhal,66.0,111.5,-21.46,99,95,3.88,RU,1701047386
175,pisco,-13.7,-76.2167,19.03,82,0,6.69,PE,1701047389
176,sisimiut,66.9395,-53.6735,-4.23,93,100,4.07,GL,1701047389
177,zalla,43.2333,-3.1333,5.77,85,0,1.54,ES,1701047389
178,huangshan,29.7114,118.3125,12.66,71,0,1.05,CN,1701047389
179,colonia,50.9333,6.95,4.82,81,75,3.09,DE,1701047389
180,port mathurin,-19.6833,63.4167,24.81,74,91,7.53,MU,1701047390
181,cole harbour,44.6724,-63.4751,3.0,79,49,0.89,CA,1701047390
182,al mijlad,11.0333,27.7333,27.89,21,9,4.34,SD,1701047390
183,nova vicosa,-17.8919,-39.3719,24.37,76,31,4.77,BR,1701047390
184,grand falls-windsor,48.9332,-55.6649,0.28,77,89,2.75,CA,1701047390
185,badger,64.8,-147.5333,-6.95,91,100,0.0,US,1701047390
186,okha,53.5739,142.9478,-12.61,87,73,12.19,RU,1701047391
187,geraldton,-28.7667,114.6,23.23,56,19,5.66,AU,1701047391
188,happy valley-goose bay,53.3168,-60.3315,-5.75,81,16,2.7,CA,1701047391
189,harrison,30.4091,-89.0436,14.93,89,0,1.54,US,1701047249
190,acapulco de juarez,16.8634,-99.8901,28.9,74,75,3.09,MX,1701047391
191,richards bay,-28.783,32.0377,22.67,91,65,1.32,ZA,1701047392
192,nemuro,43.3236,145.575,3.1,52,91,3.87,JP,1701047346
193,san fernando de apure,7.8878,-67.4724,25.82,72,11,1.28,VE,1701047392
194,khandyga,62.6667,135.6,-31.38,94,100,0.46,RU,1701047392
195,st. john's,47.5649,-52.7093,0.88,83,100,0.45,CA,1701047273
196,ribeira grande,38.5167,-28.7,18.21,96,100,4.47,PT,1701047392
197,crane,31.3974,-102.3501,8.54,30,100,3.21,US,1701047393
198,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-9.69,63,93,6.17,RU,1701047383
199,puerto baquerizo moreno,-0.9,-89.6,24.62,77,51,5.02,EC,1701047393
200,puerto madero,14.7208,-92.4215,26.11,100,40,0.0,MX,1701047393
201,minas de marcona,-15.2119,-75.1103,15.6,79,6,4.55,PE,1701047394
202,lompoc,34.6391,-120.4579,15.11,55,0,2.06,US,1701047394
203,geidam,12.897,11.9304,26.31,21,4,4.19,NG,1701047394
204,deir ez-zor,35.3359,40.1408,15.36,55,1,6.19,SY,1701047358
205,piravam,9.8667,76.5,24.99,90,80,1.34,IN,1701047394
206,darwin,-12.4611,130.8418,30.75,62,40,2.57,AU,1701047395
207,selkirk,50.1436,-96.8845,-12.12,77,56,3.58,CA,1701047236
208,mazagao,-0.115,-51.2894,29.03,91,100,1.63,BR,1701047395
209,tsiombe,-25.3,45.4833,21.56,95,5,2.02,MG,1701047395
210,benjamin constant,-4.3831,-70.0311,23.07,94,35,1.14,BR,1701047396
211,urumqi,43.801,87.6005,-1.47,93,40,1.0,CN,1701047396
212,crossett,33.1282,-91.9612,6.51,64,100,2.34,US,1701047396
213,yellowknife,62.456,-114.3525,-18.88,99,85,1.42,CA,1701047396
214,simcoe,42.8334,-80.2997,5.63,93,100,8.34,CA,1701047397
215,whitehorse,60.7161,-135.0538,4.07,98,100,11.62,CA,1701047397
216,lebu,-37.6167,-73.65,12.9,91,100,4.7,CL,1701047397
217,howard springs,-12.497,131.047,32.7,75,81,1.87,AU,1701047397
218,bad salzungen,50.8167,10.2333,3.0,89,100,0.89,DE,1701047397
219,uromi,6.7,6.3333,21.3,94,88,1.16,NG,1701047398
220,vilyuysk,63.7553,121.6247,-17.76,91,100,4.39,RU,1701047398
221,tobruk,32.0836,23.9764,16.5,51,66,9.19,LY,1701047398
222,eagle pass,28.7091,-100.4995,14.44,53,40,3.09,US,1701047398
223,sinabang,2.4803,96.3801,26.42,80,62,1.37,ID,1701047399
224,arkhangel'sk,64.5401,40.5433,-18.4,97,22,1.77,RU,1701047345
225,lahad datu,5.0268,118.327,26.97,81,83,1.26,MY,1701047399
226,yuzhno-kurilsk,44.0306,145.8556,2.99,51,91,1.29,RU,1701047399
227,gisborne,-38.6533,178.0042,16.83,61,0,4.55,NZ,1701047400
228,coquimbo,-29.9533,-71.3436,14.85,88,75,3.6,CL,1701047106
229,barki saria,24.1667,85.8833,16.41,71,84,1.1,IN,1701047400
230,quesnel,52.9999,-122.5029,-0.08,88,100,1.58,CA,1701047400
231,monroeville,40.4212,-79.7881,6.22,77,100,1.79,US,1701047387
232,nova olimpia,-14.7972,-57.2881,26.38,68,84,0.98,BR,1701047401
233,smithers,54.7804,-127.1743,1.01,97,100,0.57,CA,1701047401
234,usinsk,65.9939,57.5281,-23.82,100,61,2.07,RU,1701047401
235,hawaiian paradise park,19.5933,-154.9731,24.4,84,100,2.57,US,1701047401
236,ha'il,27.5219,41.6907,15.01,55,0,2.06,SA,1701047402
237,kurumkan,54.3,110.3,-16.6,91,100,0.45,RU,1701047402
238,al kharijah,25.4514,30.5464,15.82,37,2,3.85,EG,1701047402
239,atherton,53.5237,-2.4935,5.35,96,100,1.22,GB,1701047402
240,astrakhan,46.3497,48.0408,0.93,100,0,3.0,RU,1701047402
241,cill airne,52.05,-9.5167,8.48,96,98,2.15,IE,1701047403
242,kapit,2.0167,112.9333,23.42,99,100,0.25,MY,1701047403
243,manakara,-22.1333,48.0167,22.08,96,29,1.13,MG,1701047403
244,hami,42.8,93.45,1.49,45,31,3.45,CN,1701047403
245,burrel,41.6103,20.0089,-2.83,74,1,2.45,AL,1701047404
246,araguaina,-7.1911,-48.2072,27.84,51,74,1.52,BR,1701047363
247,akobo,7.4344,3.9497,22.63,94,100,0.79,NG,1701047404
248,pierre,44.3683,-100.351,-2.91,39,0,5.66,US,1701047404
249,harper,4.375,-7.7169,26.1,83,17,2.77,LR,1701047404
250,naama,33.2667,-0.3167,7.86,26,3,3.04,DZ,1701047404
251,chongqing,29.5628,106.5528,13.46,93,0,0.45,CN,1701047405
252,anjiang,27.3194,110.1031,14.13,81,0,0.27,CN,1701047405
253,dachne,44.8833,34.9833,3.92,80,80,12.32,UA,1701047405
254,ocean shores,46.9737,-124.1563,6.86,86,0,3.58,US,1701047293
255,tambura,5.6,27.4667,21.43,93,100,2.44,SS,1701047405
256,kargasok,59.0556,80.8572,-13.35,100,92,1.79,RU,1701047406
257,francistown,-21.17,27.5079,22.99,39,0,3.7,BW,1701047406
258,armacao de buzios,-22.7469,-41.8817,22.84,79,100,6.35,BR,1701047406
259,ust-nera,64.5667,143.2,-25.24,96,94,3.65,RU,1701047406
260,al jawf,29.5,38.75,15.41,36,0,4.57,SA,1701047406
261,bastia,42.6667,9.3333,8.57,69,40,3.09,FR,1701047407
262,lusaka,-15.4067,28.2871,19.3,73,66,1.28,ZM,1701047205
263,daokou,35.5639,114.5058,10.6,34,9,2.26,CN,1701047389
264,qeshm,26.9581,56.2719,23.95,64,1,1.53,IR,1701047407
265,guozhen,34.3659,107.359,11.06,35,0,0.35,CN,1701047407
266,wuyishan,28.0047,117.8114,15.11,79,0,1.64,CN,1701047407
267,malpica,43.3228,-8.8105,13.43,79,100,4.61,ES,1701047408
268,speichersdorf,49.8833,11.7833,1.45,94,100,3.95,DE,1701047408
269,saint croix,17.7397,-64.7388,24.98,74,0,2.57,VI,1701047408
270,laguna,38.421,-121.4238,12.96,40,0,1.54,US,1701047408
271,elblag,54.1522,19.4088,-1.68,94,100,1.63,PL,1701047408
272,pathein,16.7833,94.7333,22.35,77,89,3.47,MM,1701047408
273,sao vicente,-23.9631,-46.3919,22.77,26,94,1.48,BR,1701047409
274,porto novo,6.4965,2.6036,24.15,90,100,1.47,BJ,1701047409
275,rabo de peixe,37.8,-25.5833,16.66,99,75,8.75,PT,1701047409
276,bel ombre,-4.6167,55.4167,27.58,75,100,2.66,SC,1701047409
277,ambovombe,-25.1667,46.0833,21.83,88,0,1.22,MG,1701047409
278,bandraboua,-12.7044,45.1223,25.82,76,100,2.7,YT,1701047409
279,ayaviri,-14.8864,-70.5889,9.07,80,100,2.55,PE,1701047410
280,tvoroyri,61.5556,-6.8111,7.02,66,93,10.36,FO,1701047410
281,la'ie,21.6477,-157.9253,25.69,77,100,2.24,US,1701047410
282,yarkovo,57.4028,67.0786,0.47,95,100,3.92,RU,1701047410
283,whakatane,-37.9585,176.9854,22.28,69,0,3.13,NZ,1701047410
284,remire-montjoly,4.9167,-52.2667,27.02,89,40,1.54,GF,1701047410
285,kone,-21.0595,164.8658,29.0,48,92,1.48,NC,1701047411
286,pasni,25.2631,63.471,23.4,59,0,2.29,PK,1701047411
287,jayapura,-2.5333,140.7,29.66,64,69,1.73,ID,1701047411
288,dwarka,22.2394,68.9678,22.08,77,4,6.01,IN,1701047411
289,phek,25.6667,94.5,5.66,85,19,0.9,IN,1701047411
290,medinipur,22.4333,87.3333,18.55,65,48,2.17,IN,1701047412
291,haiku-pauwela,20.9219,-156.3051,25.41,74,40,10.8,US,1701047412
292,ubari,26.5921,12.7805,13.32,41,2,3.41,LY,1701047412
293,ponta delgada,37.7333,-25.6667,20.4,94,75,8.75,PT,1701047412
294,touros,-5.1989,-35.4608,25.26,78,0,5.07,BR,1701047412
295,el jadid,33.2549,-8.506,16.32,72,40,2.85,MA,1701047412
296,chinchilla,-26.75,150.6333,26.83,55,100,1.45,AU,1701047413
297,atafu village,-8.5421,-172.5159,30.03,74,100,7.15,TK,1701047413
298,xiongzhou,25.1167,114.3,17.91,72,0,1.35,CN,1701047413
299,ciudad acuna,29.3232,-100.9522,12.72,51,75,3.09,MX,1701047413
300,rongelap,11.1635,166.8941,27.87,77,17,9.73,MH,1701047413
301,kingston,17.997,-76.7936,26.8,87,74,0.84,JM,1701047382
302,bokoro,12.3807,17.0568,26.37,20,91,4.25,TD,1701047414
303,wanning,18.8003,110.3967,21.84,76,6,4.43,CN,1701047347
304,las khorey,11.1595,48.1967,25.23,65,46,1.94,SO,1701047414
305,pavilosta,56.8879,21.1859,-6.05,66,89,1.17,LV,1701047414
306,san francisco de los romo,22.0833,-102.2667,16.79,26,98,1.17,MX,1701047414
307,cienfuegos,22.1461,-80.4356,25.08,88,1,1.03,CU,1701047414
308,hammerfest,70.6634,23.6821,-3.75,74,100,1.54,NO,1701047415
309,dzerzhinskoye,56.8344,95.2283,-16.25,94,93,1.76,RU,1701047415
310,perg,48.25,14.6333,2.11,88,96,4.97,AT,1701047415
311,yelizovo,53.1873,158.3805,-4.65,51,75,2.0,RU,1701047415
312,whitburn,54.9533,-1.3686,4.13,91,100,3.45,GB,1701047415
313,talnakh,69.4865,88.3972,-23.96,98,46,2.73,RU,1701047415
314,lihue,21.9789,-159.3672,23.96,82,75,7.2,US,1701047416
315,kupang,-10.1667,123.5833,32.32,66,20,2.57,ID,1701047416
316,pyrzyce,53.1462,14.8926,-2.53,88,83,2.45,PL,1701047416
317,kabare,-2.4683,28.8242,16.52,97,100,0.55,CD,1701047416
318,dzilam gonzalez,21.2833,-88.9333,26.34,77,99,2.97,MX,1701047416
319,souillac,-20.5167,57.5167,23.81,82,25,3.14,MU,1701047417
320,turpan,42.9333,89.1667,2.6,39,0,0.52,CN,1701047417
321,yenangyaung,20.4667,94.8833,20.78,77,7,3.21,MM,1701047417
322,villa juarez,24.6536,-107.5411,25.14,53,100,0.0,MX,1701047417
323,caete,-19.88,-43.6697,22.57,89,52,2.39,BR,1701047310
324,yeppoon,-23.1333,150.7333,24.88,67,100,5.36,AU,1701047417
325,tateyama,34.9833,139.8667,10.96,72,4,1.27,JP,1701047417
326,siguiri,11.6667,-9.5,25.3,43,100,1.17,GN,1701047418
327,aleg,17.0481,-13.9209,23.22,15,0,4.82,MR,1701047418
328,fuglafjordur,62.244,-6.814,4.26,70,56,8.66,FO,1701047418
329,mount pearl,47.5166,-52.7813,0.37,84,100,0.89,CA,1701047418
330,odda,60.0691,6.5457,3.76,77,100,3.52,NO,1701047418
331,vila velha,-20.3297,-40.2925,21.64,97,100,1.96,BR,1701047419
332,bandar abbas,27.1865,56.2808,22.97,72,0,0.3,IR,1701047419
333,port augusta,-32.5,137.7667,29.0,28,29,6.74,AU,1701047419
334,el abiodh sidi cheikh,32.893,0.5484,8.69,30,0,1.73,DZ,1701047419
335,urangan,-25.3,152.9,24.43,70,100,3.69,AU,1701047419
336,fortaleza,-3.7227,-38.5247,27.74,75,20,4.63,BR,1701047420
337,abepura,-2.6333,140.5833,29.45,70,40,2.06,ID,1701047420
338,shitanjing,39.2342,106.3439,-1.62,55,0,5.27,CN,1701047151
339,bouake,7.6895,-5.0218,22.33,93,100,0.81,CI,1701047420
340,natal,-5.795,-35.2094,27.36,69,75,3.09,BR,1701047420
341,fort bragg,35.139,-79.006,8.06,90,100,2.57,US,1701047421
342,kerikeri,-35.2268,173.9474,21.06,69,100,0.89,NZ,1701047401
343,puerto aysen,-45.4,-72.7,8.32,80,79,0.57,CL,1701047421
344,namtsy,62.7161,129.6658,-26.2,90,100,1.41,RU,1701047422
345,cascais,38.6979,-9.4215,12.66,86,36,6.26,PT,1701047422
346,alice,27.7523,-98.0697,13.84,46,100,6.04,US,1701047422
347,prince albert,53.2001,-105.7677,-12.8,77,10,2.42,CA,1701047423
348,old orchard beach,43.5173,-70.3775,5.31,72,100,4.63,US,1701047198
349,piti village,13.4626,144.6933,30.33,79,3,8.33,GU,1701047423
350,mweka,-4.85,21.5667,20.39,97,100,0.58,CD,1701047423
351,brandon,27.9378,-82.2859,23.19,94,100,4.63,US,1701047136
352,buurhakaba,2.8026,44.0781,24.52,82,99,2.37,SO,1701047424
353,corner brook,48.9667,-57.9484,-1.38,95,84,1.72,CA,1701047214
354,el porvenir,13.7617,-87.3458,25.63,71,0,2.82,HN,1701047424
355,port-vila,-17.7338,168.3219,26.78,74,75,4.63,VU,1701047425
356,vilyuchinsk,52.9306,158.4028,-5.04,69,86,4.47,RU,1701047425
357,raojan,22.537,91.9198,21.99,87,7,1.35,BD,1701047141
358,enewetak,11.3474,162.3373,28.04,80,16,9.9,MH,1701047425
359,makueni boma,-1.8041,37.6203,17.3,96,99,0.63,KE,1701047426
360,fada,9.5667,8.3,19.93,85,62,1.84,NG,1701047426
361,duyun,26.2667,107.5167,13.76,75,0,0.32,CN,1701047392
362,majene,-3.5403,118.9707,28.41,72,90,0.61,ID,1701047374
363,nizhnesortymskiy,62.4397,71.7603,-13.49,96,100,1.66,RU,1701047426
